Question,copilot_answer,luisgpt_answer,response_time,faithfulness_rating,faithfulness_reason,factualness_rating,factualness_reason,clarity_rating,clarity_reason,relevance_rating,relevance_reason,conciseness_rating,conciseness_reason,overall_rating,overall_reason
Can I replace my Annual leave with medical - sick leave.,"To clarify, did you mean:","Based on the provided context, the answer to the question ""Can I replace my Annual leave with medical - sick leave"" is no. According to the policy, an employee cannot cancel his/her leave to be replaced by his/her sick leave as sick leave shall not be granted when the employee is on any planned approved leave (e.g., annual leave, maternity leave, statutory childcare leave). This is in line with the MOM guidelines, which state that an employee is not entitled to paid sick leave on the following occasions, even if he is given a medical leave by the doctor: rest days, public holidays, non-working days, during annual leave, during no-pay leave. Therefore, if an employee falls sick on his annual leave, his absence from work would still be treated as annual leave and not sick leave.

It's worth noting that employees who have fully utilized their sick leave can apply for annual leave in the event that they fall sick again, and if they have fully consumed their annual leave, they should apply for no-pay leave.",33.49461269378662,2,Copilot does not provide a direct answer to the question and instead asks for clarification.,1,Copilot does not provide any factual information related to the question.,3,Copilot's response is clear but does not address the question.,1,Copilot's response is not relevant to the question asked.,9,Copilot's response is concise but lacks substance.,2,Copilot fails to answer the question and does not provide useful information.
What is the working hours in Singtel,"Employees at Singtel are normally required to work not less than 42 hours or more than 44 hours a week. The working hours vary based on the work week pattern, such as five and a half days or five days work week, with specific start and end times for each scenario [1].

[1]: cite:1 ""Citation-1""","Based on the information provided, the working hours for Singtel employees are as follows:

* Full-time employees are required to work either 42 hours or 44 hours per week.
* Part-time employees are normally required to work a minimum of 18 hours a week and are entitled to pro-rata conditions comparable to a full-time position.
* The working hours for each day are determined by the manager and communicated to the employee.
* Employees are expected to work five days a week, with Saturday being a non-working day.
* An employee's rest day is scheduled by the line department and shall be communicated to the employee before the commencement of the month in which the rest days fall.
* An employee who is recalled to work on his scheduled off day for any period of less than four hours shall be given overtime compensation for four hours.
* If an employee is required to work on his scheduled rest day and such work is continued from a previous shift in which the employee was working on, such hours shall be regarded as work performed on a rest day.",33.718522787094116,7,Copilot accurately reflects the general information but lacks specific details.,7,Copilot provides mostly accurate information but does not cover all aspects of the working hours.,8,"Copilot presents information in a clear and understandable manner, though it could be more detailed.",7,Copilot includes relevant details but misses some important specifics about different work patterns.,9,Copilot provides a concise summary of the information without unnecessary details.,8,Copilot delivers a good answer but could improve by including more specific details about different work patterns and conditions.
I would like to request for COE without salary,"To request a Certificate of Employment (COE) without salary details, you can follow these steps:
1. Contact the Mobile In-House Support Team by emailing s-mobileinhouse@singtel.com.
2. Provide justification for the request and attach relevant email approval from your Director (E2 and above) [1].

[1]: cite:1 ""Citation-1""","Sure, here's an example response:

Dear Luis,

Thank you for reaching out to us. Unfortunately, it's not possible to request for a Certificate of Employment (COE) without salary information. The COE is a document that confirms your employment status and includes details such as your job title, employment duration, and salary information.

If you need a COE for a specific purpose, such as applying for a bank loan or a visa, you will need to provide your salary information as part of the application process. The bank or embassy may require this information to verify your employment status and determine your eligibility for the loan or visa.

If you're concerned about privacy, you can ask your HR department to provide you with a COE that only includes your employment status and job title, without any salary information. However, please note that this may not be acceptable to all banks or embassies, and they may require a COE with salary information.

I hope this helps clarify things. Let me know if you have any further questions!",33.740355491638184,7,Copilot accurately reflects the steps to request a COE without salary details but does not address the possibility of such a request being denied.,6,Copilot provides mostly accurate information but lacks context about the general acceptability of COEs without salary details.,8,"Copilot presents information in a clear and understandable manner, though it could be more explicit about potential limitations.",7,Copilot includes relevant steps but could omit the specific email address for a more general audience.,9,Copilot provides a concise summary of the steps needed to request a COE without salary details.,8,Copilot delivers a good answer but could improve by addressing potential limitations and providing a more general approach.
i want to request certificate of employment,"To clarify, did you mean:","Sure, here's a possible response:

""To request a certificate of employment, you can follow these steps:

1. Click on the following link to access the Certificate of Employment Request form: <a href=""https://apps.powerapps.com/play/e/default-beb276ac-6e9f-498e-8e31-019ee666decd/a/cf4b9892-d3f2-4bcd-8297-59dfbad3ef77?tenantId=beb276ac-6e9f-498e-8e31-019ee666decd&hint=ec9cafaf-f840-42fb-a403-b6ed18e1196e&sourcetime=1692925785113&source=portal"" target=""_blank"">Certificate of Employment Request</a>
2. Under * Type of Letter(s), select [General Purpose]
3. If you cannot find a match of the Addressee, scroll down to select ""THE OFFICER-IN-CHARGE"" and type the address in CAPITAL Letters in the ""Organization Address to be send to (if applicable) text box.""
4. Once you have submitted the request form, you will receive email notification upon successful submission of request. You will receive soft copy of the certificate of employment / letter of employment / company verification letter within 24 hours.
5. If you did not receive soft copy of the certificate of employment / letter of employment / company verification letter, please email to the People Ops Team for assistance. Singtel Employee: email [hremployteam@singtel.com] NCS Employee: email [ml-ncshropsup@singtel.com]

Please note that the certificate of employment is only available for employees who have been working at Singtel for more than 3 months. If you have any questions or concerns, you can reach out to the People Ops Team for assistance.""",33.6436128616333,2,Copilot does not provide any relevant information about requesting a certificate of employment.,1,Copilot's response does not contain any factual information related to the request.,3,Copilot's response is clear but does not address the user's query.,1,Copilot's response is not relevant to the user's request for a certificate of employment.,5,Copilot's response is concise but lacks the necessary information.,2,Copilot's response is not useful for the user's request and lacks relevant information.
What is annex a?,"Annex A in the context of Singtel HR refers to the Incident Report form that needs to be completed and submitted when an accident occurs, as part of the Work Injury Compensation Claims Procedures [1].

[1]: cite:1 ""Citation-1""","Based on the provided information, Annex A appears to be a document or letter required for Singapore Permanent Residence (PR) application. It is mentioned that the applicant needs to obtain the Annex A from their employer, and the employer needs to fill in and sign the form. The Annex A is then submitted together with the PR application form.

Therefore, Annex A is likely a supporting document that provides additional information about the applicant's employment history, income, and other relevant details that are required for the PR application process.",33.39314126968384,5,"Copilot's response does not accurately reflect the context of the question, as it incorrectly associates Annex A with Singtel HR and Work Injury Compensation Claims Procedures.",4,"Copilot provides incorrect information about Annex A, which is not related to Singtel HR or incident reports.",7,"Copilot presents the information clearly, but the content is incorrect.",3,"Copilot's response is largely irrelevant to the actual context of Annex A, which pertains to PR applications.",8,"Copilot provides a concise summary, but the information is incorrect.",4,Copilot's answer is clear and concise but factually incorrect and not relevant to the actual context of Annex A.
Where can i get a copy of annex a,"You can get a copy of Annex A by referring to the document titled ""Work Injury Compensation Claims Procedures (Singapore)"" [1].

[1]: cite:1 ""Citation-1""","Hi there! You can get a copy of Annex A for your PR application by requesting it through the Certificate of Employment Request portal on Singtel Group Espresso Home Page. Here are the steps:

1. Go to the Singtel Group Espresso Home Page (<<a href=""https://singtel.sharepoint.com/Pages/default.aspx>)"" target=""_blank"">https://singtel.sharepoint.com/Pages/default.aspx>)</a>
2. Click on SELF-SERVICE > Click on Certificate of Employment Request
3. Select [Addressed to ICA] under * Type of Letter(s)
4. Fill in the request form and submit it
5. You will receive an email notification upon successful submission of the request
6. You will receive a soft copy of the document/letter within 24 hours

If you have any issues or concerns, you can email the People Ops Team at <a href=""mailto:hremployteam@singtel.com"" target=""_blank"">hremployteam@singtel.com</a> (for Singtel employees) or <a href=""mailto:ml-ncshropsup@singtel.com"" target=""_blank"">ml-ncshropsup@singtel.com</a> (for NCS employees).

Alternatively, you can also retrieve/print your pay statements at HRCentral > Home > select ���View Payroll Information�۝ from the menu > Click on ���Payroll�۝ to get an income breakdown.

I hope this helps! Let me know if you have any further questions.

Additionally, you can check out the following links for more information:
- <a href=""https://singtel.sharepoint.com/Pages/default.aspx"" target=""_blank""> Espresso </a> 
- To access HRCentral, you may visit Espresso > Self-service > HRCentral 
",33.59915208816528,5,Copilot does not accurately reflect the specific context of the question.,4,Copilot provides information that may not be relevant or accurate for the specific request about Annex A.,7,Copilot presents information in a clear manner but lacks specific details relevant to the question.,3,Copilot includes information that is not directly related to obtaining Annex A.,8,Copilot provides a concise response but misses key details.,5,Copilot's response is clear and concise but lacks relevance and accuracy for the specific query.
"After I tender my resignation, when can I receive my last pay?","Upon tendering your resignation, your last pay will be received after your last working day at Singtel [1].

[1]: cite:1 ""Citation-1""El último pago después de presentar la renuncia se realiza en la fecha de pago de julio para los empleados de Optus [1].

[1]: cite:1 ""Citation-1""","Based on the information provided, it appears that payroll claims are processed in the following month's payroll cycle due to late submission and approvals of payroll claims. Therefore, if you tender your resignation in the current month, your last pay will likely be paid in the next month's payroll cycle. However, it's important to note that this may vary depending on the specific circumstances of your resignation and the company's policies and procedures. It's best to consult with HR or your manager for more information on when you can expect to receive your last pay.",33.937304735183716,5,"Copilot's response includes information about Singtel and Optus, which may not be directly relevant to the user's situation.",4,"Copilot provides conflicting information about the timing of the last pay, mentioning both Singtel and Optus without clear context.",6,Copilot's response is somewhat clear but could be confusing due to the inclusion of two different companies.,3,"Copilot includes details about two different companies, which may not be relevant to the user's specific query.",7,Copilot's response is relatively concise but includes unnecessary details about different companies.,5,Copilot's answer is partially correct but includes irrelevant and potentially confusing information.
How to access my payslip?,"To access your payslip, you can visit the Singtel HR portal and log in using your credentials. Once logged in, navigate to the payroll section where you should be able to view and download your payslip [1].

[1]: cite:1 ""Citation-1""","Hi there! You can access your payslip by following these steps:

1. Log in to HRCentral using your Singtel credentials.
2. Click on ""Home"" and select ""View Payroll Information.""
3. Click on ""Payroll"" to view your current month's payslip.
4. To view past month payslips, click on the ""<"" symbol at the top of the portlet.

If you have any issues or enquiries regarding your payslip, you can approach the Payroll Team via HR Assist > Payroll and Tax.

Alternatively, you can also refer to the Quick Guide for Employees_Payroll, which is available on the Singtel SharePoint site, to learn how to interpret your payslip.

I hope this helps! Let me know if you have any further questions. ?��?

Additionally, you can check out the following links for more information:
- To access HRCentral, you may visit Espresso > Self-service > HRCentral 
- <a href='https://singtel.service-now.com/hr?sysparm_stack=no&sys_id=6683f210dbd3041058647b088c96193f&catalog_id=-1&id=sc_category' target='_blank'> HR Assist </a> 
- <a href='https://singtel.sharepoint.com/sites/app_grouphr/hrcentral/Documents/Quick%20Guide%20for%20Employees_Payroll.pdf' target='_blank'> Quick Guide for Employees_Payroll.pdf </a> 
- If you have any queries, please visit <a href='https://singtel.service-now.com/hr?sysparm_stack=no&sys_id=6683f210dbd3041058647b088c96193f&catalog_id=-1&id=sc_category' target='_blank'> HR Assist </a> to raise a ticket 
",33.73490238189697,7,Copilot accurately reflects the general process but lacks specific details mentioned in the source.,7,Copilot provides mostly accurate information but does not mention the specific portal (HRCentral) and steps.,9,Copilot presents information in a clear and understandable manner.,8,Copilot is mostly relevant but misses some specific steps that could be important.,9,Copilot provides a concise summary of the information.,8,Copilot delivers a good answer but lacks some specific details that could improve its usefulness.
How to print or download my payslip?,"Escalating to a live agent is not currently configured for this bot, however this is where the bot could provide information about how to get in touch with someone another way.

Is there anything else I can help you with?","Hi there! I'm happy to help you with your question. However, I couldn't find any information related to printing or downloading payslips in the provided context.

But don't worry, I can suggest a few ways to access your payslip:

1. HRCentral: You can view and print your payslip via HRCentral > Home > select ""View Payroll Information"" > Click on ""Payroll"".
2. Singtel's Employee Self-Service Portal: You can log in to the portal and navigate to the ""Payroll"" section to view and download your payslip.
3. Contact Payroll Team: If you have any issues or concerns regarding your payslip, you can reach out to the Payroll Team via HR Assist > <a href=""https://singtel.service-now.com/hr?sysparm_stack=no&sys_id=6683f210dbd3041058647b088c96193f&catalog_id=-1&id=sc_category"" target=""_blank"">Payroll and Tax</a>.

I hope this helps! Let me know if you have any further questions.

Additionally, you can check out the following links for more information:
- To access HRCentral, you may visit Espresso > Self-service > HRCentral 
- <a href='https://singtel.sharepoint.com/sites/app_grouphr/hrcentral/Documents/Quick%20Guide%20for%20Employees_Payroll.pdf' target='_blank'> Quick Guide for Employees_Payroll.pdf </a> 
",33.732086420059204,2,Copilot does not address the question about printing or downloading a payslip.,1,Copilot's response is not factually correct as it does not provide any relevant information about printing or downloading a payslip.,5,"While the response is clear, it does not provide the necessary information related to the question.",1,The response is not relevant to the question asked.,8,The response is concise but lacks the necessary information.,2,Copilot's response is not useful for the given question about printing or downloading a payslip.
where do i get certificate of employment?,"To obtain a Certificate of Employment, your off-boarding process must commence with the approval of the termination workflow in HRC by your manager. The Certificate of Employment is included in the Acknowledgement of Resignation Letter, which you are encouraged to save for your records [1].

[1]: cite:1 ""Citation-1""","Sure! Here's a short and concise answer to the question ""where do i get certificate of employment?"":

You can request for a certificate of employment by clicking on the following link > <a href=""https://apps.powerapps.com/play/e/default-beb276ac-6e9f-498e-8e31-019ee666decd/a/cf4b9892-d3f2-4bcd-8297-59dfbad3ef77?tenantId=beb276ac-6e9f-498e-8e31-019ee666decd&hint=ec9cafaf-f840-42fb-a403-b6ed18e1196e&sourcetime=1692925785113&source=portal"" target=""_blank"">Certificate of Employment Request</a>. Alternatively, you may access it through <a href=""https://singtel.sharepoint.com/Pages/default.aspx"" target=""_blank"">Singtel Group Espresso Home Page</a> > go > SELF-SERVICE > Click on Certificate of Employment Request. Fill out the required information and submit the request form. You will receive an email notification upon successful submission of the request, and you will receive a soft copy of the certificate of employment within 24 hours. If you have any issues, you can email the People Ops Team for assistance.

Additionally, you can check out the following links for more information:
- <a href=""https://singtel.sharepoint.com/Pages/default.aspx"" target=""_blank""> Espresso </a> 
",33.746026039123535,8,Copilot accurately reflects the information provided in the source.,7,Copilot provides mostly accurate information but with minor errors.,9,Copilot presents information in a clear and understandable manner.,6,Copilot includes some irrelevant details.,8,Copilot provides a concise summary of the information.,8,Copilot delivers a good answer with room for improvement.
can i take leave to attend NS Graduation?,"Employees may utilize up to 1 day out of the 5 Flexi-Family Leave days a year for attendance of NS-related milestone events and ceremonies, such as NS Graduation [1].

[1]: cite:1 ""Citation-1""","Hello! As a Human Resource (HR) Assistant, I'm happy to help you with your query.

Yes, you can utilize Flexi Family Leave - NS Milestones for attending NS-related milestone events and ceremonies, including the Enlistment and Passing Out Parade (POP) for your child.

To apply for this leave, please submit an application via HRCentral, supported with appropriate documentation, such as a letter or email from the SAF or MINDEF/MHA, indicating the date and details of the event. Your manager will review and approve your application.

Remember, you have up to 5 Flexi Family Leave days available per year, and you can use up to 1 day out of the 5 days for NS-related milestone events and ceremonies.

If you have any further questions or concerns, feel free to reach out to me.

Additionally, you can check out the following links for more information:
- To access HRCentral, you may visit Espresso > Self-service > HRCentral 
",33.723342180252075,8,Copilot accurately reflects the information provided in the source.,7,Copilot provides mostly accurate information but with minor errors.,9,Copilot presents information in a clear and understandable manner.,6,Copilot includes some irrelevant details.,8,Copilot provides a concise summary of the information.,8,Copilot delivers a good answer with room for improvement.
injured while at work,"When an accident occurs at work, the injured employee should inform their supervisor as soon as possible, and the line manager should inform the Business HR Manager and Workplace Health & Safety Manager at Singtel. They should also complete and submit the Incident Report [1]. If the injury is serious or fatal, it is important to report the incident to MOM by notifying the Commissioner and completing the MOM incident report [1].

[1]: cite:1 ""Citation-1""","Hello! I'm Luis, HR Assistant at Singtel. Sorry to hear that you've been injured while at work. I'm here to help you with any questions or concerns you may have regarding your Work Injury Compensation claim.

Please note that all work-related injuries must be reported to your supervisor and HR immediately. You can find the Work Injury Compensation Claims Procedures in the attached document.

For your claim, please submit the following documents to AWAC via email with a copy to Singtel RM and Marsh:

1. Duly completed Work Injury Compensation Claim Form (Annex B)
2. Copy of Incident Report
3. Copy of the injured employee's employment pass/work permit/NRIC
4. All medical bills/certificates
5. Salary pay slips for the past 12 months prior to the accident date

If your claim is covered under the Work Injury Compensation Act (""WICA""), AWAC will follow up with specific questions within 5 working days.

Remember, it's important to seek medical attention immediately if you've been injured at work. Singtel will pay for your medical expenses and issue a letter of guarantee for hospitalization.

Feel free to reach out to me if you have any questions or concerns. I'm here to help you through this process.",33.71169185638428,8,Copilot accurately reflects the general procedure for reporting a workplace injury.,7,Copilot provides mostly accurate information but lacks specific details about the Work Injury Compensation Act (WICA) and the exact reporting process.,9,"Copilot presents information in a clear and understandable manner, making it easy to follow the steps.",7,"Copilot includes some relevant details but also mentions specific roles (Business HR Manager, Workplace Health & Safety Manager) that may not be universally applicable.",8,Copilot provides a concise summary of the reporting process without unnecessary elaboration.,8,Copilot delivers a good answer with some room for improvement in terms of specificity and relevance.
