Question,copilot_answer,luisgpt_answer,response_time,faithfulness_rating,faithfulness_reason,factualness_rating,factualness_reason,clarity_rating,clarity_reason,relevance_rating,relevance_reason,conciseness_rating,conciseness_reason,overall_rating,overall_reason
What is annex a?,"Annex A in the context of Singtel HR refers to the Incident Report form that needs to be completed and submitted when an accident occurs, as part of the Work Injury Compensation Claims Procedures [1].

[1]: cite:1 ""Citation-1""","Based on the provided information, Annex A appears to be a document or letter required for Singapore Permanent Residence (PR) application. It is mentioned that the applicant needs to obtain the Annex A from their employer, and the employer needs to fill in and sign the form. The Annex A is then submitted together with the PR application form.

Therefore, Annex A is likely a supporting document that provides additional information about the applicant's employment history, income, and other relevant details that are required for the PR application process.",7.471568536758423,8,Copilot accurately reflects the information provided in the source.,7,Copilot provides mostly accurate information but with minor errors.,9,Copilot presents information in a clear and understandable manner.,6,Copilot includes some irrelevant details.,8,Copilot provides a concise summary of the information.,10,Copilot delivers a great answer with room for improvement.
Where can i get a copy of annex a,"You can access a copy of Annex A, the Supervisor's Report, by visiting the following link: https://singtel.sharepoint.com/sites/app_hrsingtel/Policies/Work-Environment/Documents/Annex%20A%20-%20Supervisor%27s%20Report_25052022.docx [1].

[1]: cite:1 ""Citation-1""","Hi there! You can get a copy of Annex A for your PR application by requesting it through the Certificate of Employment Request portal on Singtel Group Espresso Home Page. Here are the steps:

1. Go to the Singtel Group Espresso Home Page (<<a href=""https://singtel.sharepoint.com/Pages/default.aspx>)"" target=""_blank"">https://singtel.sharepoint.com/Pages/default.aspx>)</a>
2. Click on SELF-SERVICE > Click on Certificate of Employment Request
3. Select [Addressed to ICA] under * Type of Letter(s)
4. Fill in the request form and submit it
5. You will receive an email notification upon successful submission of the request
6. You will receive a soft copy of the document/letter within 24 hours

If you have any issues or concerns, you can email the People Ops Team at <a href=""mailto:hremployteam@singtel.com"" target=""_blank"">hremployteam@singtel.com</a> (for Singtel employees) or <a href=""mailto:ml-ncshropsup@singtel.com"" target=""_blank"">ml-ncshropsup@singtel.com</a> (for NCS employees).

Alternatively, you can also retrieve/print your pay statements at HRCentral > Home > select ���View Payroll Information�۝ from the menu > Click on ���Payroll�۝ to get an income breakdown.

I hope this helps! Let me know if you have any further questions.

Additionally, you can check out the following links for more information:
- <a href=""https://singtel.sharepoint.com/Pages/default.aspx"" target=""_blank""> Espresso </a> 
- To access HRCentral, you may visit Espresso > Self-service > HRCentral 
",14.598074626922607,7,"Copilot provides a link to Annex A, but it is not clear if this is the correct document for the user's specific need.",6,"The provided link appears to be accurate, but there is no verification if it is the correct Annex A for the user's context.",8,"Copilot presents the information clearly, but it could benefit from additional context.",7,Copilot's response is mostly relevant but lacks specific details about the user's request.,9,Copilot provides a concise answer with minimal extraneous information.,7,Copilot delivers a good answer but could improve by providing more context and verifying the document's relevance.
How to print or download my payslip?,"To print or download your payslip, you can email Payroll via g-payrollsg@singtel.com for queries related to payslips [1].

[1]: cite:1 ""Citation-1""","Hi there! I'm happy to help you with your question. However, I couldn't find any information related to printing or downloading payslips in the provided context.

But don't worry, I can suggest a few ways to access your payslip:

1. HRCentral: You can view and print your payslip via HRCentral > Home > select ""View Payroll Information"" > Click on ""Payroll"".
2. Singtel's Employee Self-Service Portal: You can log in to the portal and navigate to the ""Payroll"" section to view and download your payslip.
3. Contact Payroll Team: If you have any issues or concerns regarding your payslip, you can reach out to the Payroll Team via HR Assist > <a href=""https://singtel.service-now.com/hr?sysparm_stack=no&sys_id=6683f210dbd3041058647b088c96193f&catalog_id=-1&id=sc_category"" target=""_blank"">Payroll and Tax</a>.

I hope this helps! Let me know if you have any further questions.

Additionally, you can check out the following links for more information:
- To access HRCentral, you may visit Espresso > Self-service > HRCentral 
- <a href='https://singtel.sharepoint.com/sites/app_grouphr/hrcentral/Documents/Quick%20Guide%20for%20Employees_Payroll.pdf' target='_blank'> Quick Guide for Employees_Payroll.pdf </a> 
",27.777424764633178,5,"Copilot's response does not fully reflect the typical process for printing or downloading a payslip. It suggests emailing Payroll, which may not be the standard method.",4,"The information provided by Copilot is not entirely accurate. It suggests contacting Payroll via email, which may not be the correct or most efficient method.",7,"Copilot presents the information in a clear manner, but the instructions are not detailed enough.",5,Copilot's response is partially relevant but misses key steps and details for printing or downloading a payslip.,8,"Copilot provides a concise answer, but it lacks necessary details.",5,Copilot's answer is partially helpful but lacks accuracy and completeness.
where do i get certificate of employment?,"You can obtain a Certificate of Employment during the off-boarding process once the termination workflow in HRC is approved by your manager [1].

[1]: cite:1 ""Citation-1""","Sure! Here's a short and concise answer to the question ""where do i get certificate of employment?"":

You can request for a certificate of employment by clicking on the following link > <a href=""https://apps.powerapps.com/play/e/default-beb276ac-6e9f-498e-8e31-019ee666decd/a/cf4b9892-d3f2-4bcd-8297-59dfbad3ef77?tenantId=beb276ac-6e9f-498e-8e31-019ee666decd&hint=ec9cafaf-f840-42fb-a403-b6ed18e1196e&sourcetime=1692925785113&source=portal"" target=""_blank"">Certificate of Employment Request</a>. Alternatively, you may access it through <a href=""https://singtel.sharepoint.com/Pages/default.aspx"" target=""_blank"">Singtel Group Espresso Home Page</a> > go > SELF-SERVICE > Click on Certificate of Employment Request. Fill out the required information and submit the request form. You will receive an email notification upon successful submission of the request, and you will receive a soft copy of the certificate of employment within 24 hours. If you have any issues, you can email the People Ops Team for assistance.

Additionally, you can check out the following links for more information:
- <a href=""https://singtel.sharepoint.com/Pages/default.aspx"" target=""_blank""> Espresso </a> 
",7.291111183166504,8,Copilot accurately reflects the information provided in the source.,7,Copilot provides mostly accurate information but with minor errors.,9,Copilot presents information in a clear and understandable manner.,6,Copilot includes some irrelevant details.,8,Copilot provides a concise summary of the information.,10,Copilot delivers a great answer with room for improvement.
can i take leave to attend NS Graduation?,"You may utilize up to 1 day of Flexi Family Leave for attendance of NS-related milestone events and ceremonies, such as NS Graduation [1].

[1]: cite:1 ""Citation-1""","Hello! As a Human Resource (HR) Assistant, I'm happy to help you with your query.

Yes, you can utilize Flexi Family Leave - NS Milestones for attending NS-related milestone events and ceremonies, including the Enlistment and Passing Out Parade (POP) for your child.

To apply for this leave, please submit an application via HRCentral, supported with appropriate documentation, such as a letter or email from the SAF or MINDEF/MHA, indicating the date and details of the event. Your manager will review and approve your application.

Remember, you have up to 5 Flexi Family Leave days available per year, and you can use up to 1 day out of the 5 days for NS-related milestone events and ceremonies.

If you have any further questions or concerns, feel free to reach out to me.

Additionally, you can check out the following links for more information:
- To access HRCentral, you may visit Espresso > Self-service > HRCentral 
",8.15097517967224,8,Copilot accurately reflects the information provided in the source.,7,Copilot provides mostly accurate information but with minor errors.,9,Copilot presents information in a clear and understandable manner.,6,Copilot includes some irrelevant details.,8,Copilot provides a concise summary of the information.,10,Copilot delivers a great answer with room for improvement.
injured while at work,"When an accident occurs, inform your supervisor, who will then notify the Singtel Workplace Health & Safety Manager and complete the Incident Report [1]. If the injury is work-related, Singtel will pay for medical expenses and issue a letter of guarantee for hospitalization [1].

[1]: cite:1 ""Citation-1""","Hello! I'm Luis, HR Assistant at Singtel. Sorry to hear that you've been injured while at work. I'm here to help you with any questions or concerns you may have regarding your Work Injury Compensation claim.

Please note that all work-related injuries must be reported to your supervisor and HR immediately. You can find the Work Injury Compensation Claims Procedures in the attached document.

For your claim, please submit the following documents to AWAC via email with a copy to Singtel RM and Marsh:

1. Duly completed Work Injury Compensation Claim Form (Annex B)
2. Copy of Incident Report
3. Copy of the injured employee's employment pass/work permit/NRIC
4. All medical bills/certificates
5. Salary pay slips for the past 12 months prior to the accident date

If your claim is covered under the Work Injury Compensation Act (""WICA""), AWAC will follow up with specific questions within 5 working days.

Remember, it's important to seek medical attention immediately if you've been injured at work. Singtel will pay for your medical expenses and issue a letter of guarantee for hospitalization.

Feel free to reach out to me if you have any questions or concerns. I'm here to help you through this process.",7.972638082504273,8,Copilot accurately reflects the information provided in the source.,7,Copilot provides mostly accurate information but with minor errors.,9,Copilot presents information in a clear and understandable manner.,6,Copilot includes some irrelevant details.,8,Copilot provides a concise summary of the information.,10,Copilot delivers a great answer with room for improvement.
how to apply birthday leave,"To apply for Birthday leave, you need to update your marital status and attach a copy of the marriage certificate in HRCentral [1].

[1]: cite:1 ""Citation-1""","To apply for FFL - Birthday Leave, please follow these steps:

1. Go to HRCentral > Home > select ""Time-off"" and select FFL ��� Birthday Leave.
2. Choose the date of your birthday month that you want to take off.
3. Submit your application for approval.

Note: If you are still under probation, you may need to obtain supervisor approval before applying for FFL - Birthday Leave.

Additionally, you can check out the following links for more information:
- To access HRCentral, you may visit Espresso > Self-service > HRCentral 
",7.9983686923980715,3,Copilot's response does not accurately reflect the typical process for applying for birthday leave.,2,"Copilot provides incorrect information about updating marital status and attaching a marriage certificate, which is not relevant to birthday leave.",5,Copilot's response is clear but misleading due to incorrect information.,2,Copilot's response includes irrelevant details about marital status and marriage certificates.,6,Copilot's response is concise but fails to provide the correct and necessary steps for applying for birthday leave.,3,Copilot's answer is largely incorrect and not useful for someone looking to apply for birthday leave.
how do i resign,"To resign from your position at Singtel, you can follow the offboarding process outlined by the company. Your off-boarding process will commence once the termination workflow in HRC is approved by your manager. You will receive various documents and instructions to guide you through the resignation process [1].

[1]: cite:1 ""Citation-1""","To resign from your job, you can follow these steps:

1. Inform your manager about your intention to resign.
2. Go to HRCentral > Home > Employee Info > click on ""Take Action"" on the upper right-hand side of the banner > select ""Termination of Service"" and complete the following steps:
	* Select your Date Notice Given (i.e., the date of resignation).
	* Select your Termination Date/Last Day of Service.
	* Select your Termination Reason from the drop-down list.
	* Click Submit.
	* Input comments, if any.
	* Click Confirm.
3. A workflow will be sent to your Direct Manager. The system will auto-approve after 7 days if there is no action from your Direct Manager. An email notification will be sent to you once approved.

It's important to note that employees are not required to submit any hardcopy resignation letter to their manager. The online process through HRCentral is sufficient.

Additionally, you can check out the following links for more information:
- To access HRCentral, you may visit Espresso > Self-service > HRCentral 
",7.779904556274414,7,Copilot accurately reflects the general process but lacks specific details.,6,Copilot provides mostly accurate information but lacks specifics and may not cover all necessary steps.,8,"Copilot presents information in a clear and understandable manner, though it could be more detailed.",7,Copilot includes relevant details but misses some specific steps that are important.,9,Copilot provides a concise summary of the resignation process.,7,Copilot delivers a good answer but lacks some specific details and steps that would make it more comprehensive.
how to apply leaves,"To apply for leaves at Singtel, you need to follow these steps:
1. Inform your immediate supervisor on the day of your absence from work.
2. Apply for leave via HR Central - Time Off.
3. Attach supporting documentation, such as medical certificates, during the application process.
4. Remember that employees may take up to 3 days of non-consecutive sick leave each year without submitting medical certificates [1].

[1]: cite:1 ""Citation-1""","As a Human Resource (HR) Assistant at Singtel, I'm happy to help you with your query.

To apply for leaves, please follow these steps:

1. Determine the type of leave you wish to take. Singtel offers various types of leaves, including Annual Leave, Medical Leave, and other special leaves.
2. Check your eligibility for the leave. Refer to the Singtel HR policies and guidelines for the specific leave you are interested in to see if you meet the eligibility criteria.
3. Discuss your leave plans with your immediate supervisor or manager. They can provide guidance on the leave application process and help you determine the best time for your leave.
4. Complete the leave application form. You can find the form on the Singtel intranet or obtain it from your HR representative.
5. Submit the form to your immediate supervisor or manager for approval. They will review your application and forward it to HR for processing.
6. Wait for HR to process your application. They will verify your eligibility and ensure that your leave does not conflict with business needs.
7. Once your leave is approved, make sure to update your calendar and inform your team members about your absence.

Remember to follow the Singtel HR policies and guidelines when applying for leaves to ensure a smooth and successful application process. If you have any questions or concerns, don't hesitate to reach out to your HR representative for assistance.

Additionally, you can check out the following links for more information:
- <a href=""https://singtel.sharepoint.com/Pages/default.aspx"" target=""_blank""> Espresso </a> 
- To access HRCentral, you may visit Espresso > Self-service > HRCentral 
",9.77542586326599,7,Copilot provides steps that are generally in line with typical leave application processes but lacks specific details about Singtel's policies.,6,Copilot's information is mostly accurate but includes a specific claim about sick leave that may not be universally applicable.,9,Copilot presents the steps in a clear and understandable manner.,7,Copilot's response is mostly relevant but includes a specific detail about sick leave that may not be necessary for a general query about applying for leaves.,8,Copilot provides a concise summary of the steps involved in applying for leaves.,8,Copilot delivers a good answer but could improve by providing more specific details about Singtel's leave policies and avoiding potentially irrelevant information.
how to submit my expense claim?,"To submit your expense claim, follow these steps: 
1. Click the Submit Claim button.
2. Confirm the details displayed by clicking on the Submit Claim button.
3. A Claim Successfully Submitted pop-up screen will appear.
4. Click the Close button.
5. A New Expense Claim tile will be added to the Manage Expenses tab, displaying the status as Submitted [1].

[1]: cite:1 ""Citation-1""","To submit your expense claim, you can follow these steps:

1. Go to HRCentral > Home menu > Expense and Travel.
2. Click on the 'Create New Claim' tile or select 'New' > 'Start a Request' from the Quick Task Bar.
3. Complete all required fields (marked with red bars) and optional fields as needed.
4. Attach images/PDFs of all receipts directly into the system.
5. Submit your claim.

Note: Employees are not required to submit original receipts. The approver will review all supporting documents online prior to approval. Please note that employees are required to retain physical copies of the receipts for 6 months (Singapore) for internal audit purpose.

Additionally, you can check out the following links for more information:
- To access HRCentral, you may visit Espresso > Self-service > HRCentral 
",8.107277822494506,8,Copilot accurately reflects the information provided in the source.,7,Copilot provides mostly accurate information but with minor errors.,9,Copilot presents information in a clear and understandable manner.,6,Copilot includes some irrelevant details.,8,Copilot provides a concise summary of the information.,10,Copilot delivers a great answer with room for improvement.
How to enter attendees in my expense claim?,"To enter attendees in your expense claim, follow these steps:
1. Click on the incomplete expense from the Expense list.
2. Enter the appropriate expense type into the Expense Type field.
3. Complete the Justification field with an explanation of the expense incurred.
4. Confirm the Receipt Status is set to Tax Receipt.
5. Save the expense to add it to the expense list.
6. Click on the new expense in the expense list to open it.
7. Click the Allocate button.
8. Choose to allocate by Percentage or Amount from the Allocate By drop-down list.
9. Select the legal entity and cost center or project for allocation.
10. Save the allocation details.
11. Attach a receipt by clicking the Attach Receipt button and following the prompts.
12. Save the expense with attached receipt.
13. Click Receipts and select Attach Receipt Images to upload the receipt images.
14. Upload the selected file and close the window.
15. Submit your claim by clicking the Submit Claim button and confirming the details [1].

[1]: cite:1 ""Citation-1""","Based on the provided information, it appears that the process for entering attendees in an expense claim is not explicitly mentioned. However, it's suggested to follow the steps below:

1. Click on ""Expense""
2. Click on ""Claim Library""
3. Click on the specific claim you want to edit
4. Scroll down to the ""Attendees"" section
5. Click on the ""Add Attendee"" button
6. Enter the attendee's name and email address
7. Select the appropriate attendee type (e.g., ""Colleague"")
8. Add any additional attendees as needed
9. Click ""Save"" to save the attendees' information

Note: The exact steps may vary slightly depending on the specific version of the system being used. If you're unable to locate the option to add attendees, it's recommended to consult the system's user guide or contact the system administrator for assistance.",8.636902046203613,7,"Copilot provides a detailed process for entering an expense claim, but it does not specifically address how to enter attendees.",6,"While the steps provided are generally accurate for entering an expense claim, they do not directly answer the question about entering attendees.",8,"The instructions are clear and easy to follow, but they do not focus on the specific task of entering attendees.",5,The response includes many steps that are not directly related to entering attendees in an expense claim.,7,The response is detailed but includes unnecessary steps that do not pertain to the question.,6,Copilot provides a thorough answer for entering an expense claim but fails to address the specific question about entering attendees.
