Question,copilot_answer,luisgpt_answer,response_time,faithfulness_rating,faithfulness_reason,factualness_rating,factualness_reason,clarity_rating,clarity_reason,relevance_rating,relevance_reason,conciseness_rating,conciseness_reason,overall_rating,overall_reason
Can I replace my Annual leave with medical - sick leave.,"Hello! To be able to help you, I'll need you to sign in.","Based on the provided context, the answer to the question ""Can I replace my Annual leave with medical - sick leave"" is no. According to the policy, an employee cannot cancel his/her leave to be replaced by his/her sick leave as sick leave shall not be granted when the employee is on any planned approved leave (e.g., annual leave, maternity leave, statutory childcare leave). This is in line with the MOM guidelines, which state that an employee is not entitled to paid sick leave on the following occasions, even if he is given a medical leave by the doctor: rest days, public holidays, non-working days, during annual leave, during no-pay leave. Therefore, if an employee falls sick on his annual leave, his absence from work would still be treated as annual leave and not sick leave.

It's worth noting that employees who have fully utilized their sick leave can apply for annual leave in the event that they fall sick again, and if they have fully consumed their annual leave, they should apply for no-pay leave.",0.23873419761657716,1,Copilot does not address the question about replacing annual leave with sick leave.,1,Copilot does not provide any factual information relevant to the question.,5,Copilot's response is clear but not relevant to the question.,1,Copilot's response is not relevant to the question asked.,8,Copilot's response is concise but not useful.,2,Copilot fails to answer the question but provides a clear and concise response.
What is the working hours in Singtel,"Hello! To be able to help you, I'll need you to sign in.","Based on the information provided, the working hours for Singtel employees are as follows:

* Full-time employees are required to work either 42 hours or 44 hours per week.
* Part-time employees are normally required to work a minimum of 18 hours a week and are entitled to pro-rata conditions comparable to a full-time position.
* The working hours for each day are determined by the manager and communicated to the employee.
* Employees are expected to work five days a week, with Saturday being a non-working day.
* An employee's rest day is scheduled by the line department and shall be communicated to the employee before the commencement of the month in which the rest days fall.
* An employee who is recalled to work on his scheduled off day for any period of less than four hours shall be given overtime compensation for four hours.
* If an employee is required to work on his scheduled rest day and such work is continued from a previous shift in which the employee was working on, such hours shall be regarded as work performed on a rest day.",0.24892563819885255,2,Copilot does not provide any information about Singtel's working hours.,1,Copilot's response is not factual as it does not address the question.,5,Copilot's response is clear but not relevant to the question asked.,1,Copilot's response is not relevant to the question about Singtel's working hours.,8,Copilot's response is concise but does not provide the needed information.,2,Copilot fails to answer the question about Singtel's working hours.
I would like to request for COE without salary,"Hello! To be able to help you, I'll need you to sign in.","Sure, here's an example response:

Dear Luis,

Thank you for reaching out to us. Unfortunately, it's not possible to request for a Certificate of Employment (COE) without salary information. The COE is a document that confirms your employment status and includes details such as your job title, employment duration, and salary information.

If you need a COE for a specific purpose, such as applying for a bank loan or a visa, you will need to provide your salary information as part of the application process. The bank or embassy may require this information to verify your employment status and determine your eligibility for the loan or visa.

If you're concerned about privacy, you can ask your HR department to provide you with a COE that only includes your employment status and job title, without any salary information. However, please note that this may not be acceptable to all banks or embassies, and they may require a COE with salary information.

I hope this helps clarify things. Let me know if you have any further questions!",0.08805580139160156,2,Copilot does not address the user's request for a COE without salary information.,1,Copilot does not provide any factual information related to the request.,5,Copilot's response is clear but does not provide relevant information.,1,Copilot's response is not relevant to the user's request.,8,Copilot's response is concise but lacks necessary information.,2,Copilot's response is not helpful in addressing the user's request.
i want to request certificate of employment,"Hello! To be able to help you, I'll need you to sign in.","Sure, here's a possible response:

""To request a certificate of employment, you can follow these steps:

1. Click on the following link to access the Certificate of Employment Request form: <a href=""https://apps.powerapps.com/play/e/default-beb276ac-6e9f-498e-8e31-019ee666decd/a/cf4b9892-d3f2-4bcd-8297-59dfbad3ef77?tenantId=beb276ac-6e9f-498e-8e31-019ee666decd&hint=ec9cafaf-f840-42fb-a403-b6ed18e1196e&sourcetime=1692925785113&source=portal"" target=""_blank"">Certificate of Employment Request</a>
2. Under * Type of Letter(s), select [General Purpose]
3. If you cannot find a match of the Addressee, scroll down to select ""THE OFFICER-IN-CHARGE"" and type the address in CAPITAL Letters in the ""Organization Address to be send to (if applicable) text box.""
4. Once you have submitted the request form, you will receive email notification upon successful submission of request. You will receive soft copy of the certificate of employment / letter of employment / company verification letter within 24 hours.
5. If you did not receive soft copy of the certificate of employment / letter of employment / company verification letter, please email to the People Ops Team for assistance. Singtel Employee: email [hremployteam@singtel.com] NCS Employee: email [ml-ncshropsup@singtel.com]

Please note that the certificate of employment is only available for employees who have been working at Singtel for more than 3 months. If you have any questions or concerns, you can reach out to the People Ops Team for assistance.""",0.27741689682006837,5,Copilot does not provide specific steps or details on how to request a certificate of employment.,6,"Copilot's response is factually correct in that signing in may be a necessary step, but it lacks detailed information.",7,Copilot's response is clear but very minimalistic.,4,Copilot's response is somewhat relevant but does not fully address the user's request.,9,"Copilot's response is concise but overly so, lacking necessary details.",5,Copilot provides a very basic answer that lacks the necessary details to be truly helpful.
What is annex a?,"Hello! To be able to help you, I'll need you to sign in.","Based on the provided information, Annex A appears to be a document or letter required for Singapore Permanent Residence (PR) application. It is mentioned that the applicant needs to obtain the Annex A from their employer, and the employer needs to fill in and sign the form. The Annex A is then submitted together with the PR application form.

Therefore, Annex A is likely a supporting document that provides additional information about the applicant's employment history, income, and other relevant details that are required for the PR application process.",0.21979780197143556,1,Copilot does not provide any information related to the question about Annex A.,1,Copilot's response is not factual as it does not address the question.,5,"While the response is clear, it is not relevant to the question asked.",1,The response is completely irrelevant to the question about Annex A.,7,The response is concise but does not provide any useful information.,2,Copilot's response fails to address the question and does not provide any useful information.
Where can i get a copy of annex a,"Hello! To be able to help you, I'll need you to sign in.","Hi there! You can get a copy of Annex A for your PR application by requesting it through the Certificate of Employment Request portal on Singtel Group Espresso Home Page. Here are the steps:

1. Go to the Singtel Group Espresso Home Page (<<a href=""https://singtel.sharepoint.com/Pages/default.aspx>)"" target=""_blank"">https://singtel.sharepoint.com/Pages/default.aspx>)</a>
2. Click on SELF-SERVICE > Click on Certificate of Employment Request
3. Select [Addressed to ICA] under * Type of Letter(s)
4. Fill in the request form and submit it
5. You will receive an email notification upon successful submission of the request
6. You will receive a soft copy of the document/letter within 24 hours

If you have any issues or concerns, you can email the People Ops Team at <a href=""mailto:hremployteam@singtel.com"" target=""_blank"">hremployteam@singtel.com</a> (for Singtel employees) or <a href=""mailto:ml-ncshropsup@singtel.com"" target=""_blank"">ml-ncshropsup@singtel.com</a> (for NCS employees).

Alternatively, you can also retrieve/print your pay statements at HRCentral > Home > select ���View Payroll Information�۝ from the menu > Click on ���Payroll�۝ to get an income breakdown.

I hope this helps! Let me know if you have any further questions.

Additionally, you can check out the following links for more information:
- <a href=""https://singtel.sharepoint.com/Pages/default.aspx"" target=""_blank""> Espresso </a> 
- To access HRCentral, you may visit Espresso > Self-service > HRCentral 
",0.228592586517334,2,Copilot does not provide any information related to obtaining Annex A.,1,Copilot's response is factually incorrect as it does not address the question.,5,"While the response is clear, it does not provide relevant information.",1,The response is entirely irrelevant to the question asked.,8,The response is concise but lacks necessary information.,2,Copilot's response is not helpful in answering the question about obtaining Annex A.
"After I tender my resignation, when can I receive my last pay?","Hello! To be able to help you, I'll need you to sign in.","Based on the information provided, it appears that payroll claims are processed in the following month's payroll cycle due to late submission and approvals of payroll claims. Therefore, if you tender your resignation in the current month, your last pay will likely be paid in the next month's payroll cycle. However, it's important to note that this may vary depending on the specific circumstances of your resignation and the company's policies and procedures. It's best to consult with HR or your manager for more information on when you can expect to receive your last pay.",0.230318021774292,1,Copilot does not address the question about receiving the last pay after resignation.,1,Copilot's response is not factually relevant to the question asked.,5,"While the response is clear, it does not provide any useful information related to the question.",1,The response is completely irrelevant to the question about the last pay after resignation.,8,The response is concise but lacks any relevant information.,2,Copilot's response is clear and concise but fails to address the question asked.
How to access my payslip?,"Hello! To be able to help you, I'll need you to sign in.","Hi there! You can access your payslip by following these steps:

1. Log in to HRCentral using your Singtel credentials.
2. Click on ""Home"" and select ""View Payroll Information.""
3. Click on ""Payroll"" to view your current month's payslip.
4. To view past month payslips, click on the ""<"" symbol at the top of the portlet.

If you have any issues or enquiries regarding your payslip, you can approach the Payroll Team via HR Assist > Payroll and Tax.

Alternatively, you can also refer to the Quick Guide for Employees_Payroll, which is available on the Singtel SharePoint site, to learn how to interpret your payslip.

I hope this helps! Let me know if you have any further questions. ?��?

Additionally, you can check out the following links for more information:
- To access HRCentral, you may visit Espresso > Self-service > HRCentral 
- <a href='https://singtel.service-now.com/hr?sysparm_stack=no&sys_id=6683f210dbd3041058647b088c96193f&catalog_id=-1&id=sc_category' target='_blank'> HR Assist </a> 
- <a href='https://singtel.sharepoint.com/sites/app_grouphr/hrcentral/Documents/Quick%20Guide%20for%20Employees_Payroll.pdf' target='_blank'> Quick Guide for Employees_Payroll.pdf </a> 
- If you have any queries, please visit <a href='https://singtel.service-now.com/hr?sysparm_stack=no&sys_id=6683f210dbd3041058647b088c96193f&catalog_id=-1&id=sc_category' target='_blank'> HR Assist </a> to raise a ticket 
",0.10216565132141113,3,Copilot does not provide any specific steps or information on how to access the payslip.,2,Copilot's response is not factually accurate as it does not address the question directly.,5,"While the response is clear, it does not provide the necessary information to answer the question.",2,The response is largely irrelevant as it does not answer the question about accessing a payslip.,8,The response is concise but lacks the necessary details to be helpful.,3,Copilot's response is not effective in answering the question about accessing a payslip.
How to print or download my payslip?,"Hello! To be able to help you, I'll need you to sign in.","Hi there! I'm happy to help you with your question. However, I couldn't find any information related to printing or downloading payslips in the provided context.

But don't worry, I can suggest a few ways to access your payslip:

1. HRCentral: You can view and print your payslip via HRCentral > Home > select ""View Payroll Information"" > Click on ""Payroll"".
2. Singtel's Employee Self-Service Portal: You can log in to the portal and navigate to the ""Payroll"" section to view and download your payslip.
3. Contact Payroll Team: If you have any issues or concerns regarding your payslip, you can reach out to the Payroll Team via HR Assist > <a href=""https://singtel.service-now.com/hr?sysparm_stack=no&sys_id=6683f210dbd3041058647b088c96193f&catalog_id=-1&id=sc_category"" target=""_blank"">Payroll and Tax</a>.

I hope this helps! Let me know if you have any further questions.

Additionally, you can check out the following links for more information:
- To access HRCentral, you may visit Espresso > Self-service > HRCentral 
- <a href='https://singtel.sharepoint.com/sites/app_grouphr/hrcentral/Documents/Quick%20Guide%20for%20Employees_Payroll.pdf' target='_blank'> Quick Guide for Employees_Payroll.pdf </a> 
",0.22647614479064943,2,Copilot does not provide any specific instructions or information related to printing or downloading a payslip.,2,Copilot's response is not factually incorrect but lacks any factual content relevant to the question.,5,Copilot's response is clear but does not address the user's question directly.,1,Copilot's response is not relevant to the question about printing or downloading a payslip.,8,Copilot's response is concise but lacks necessary details.,3,Copilot's response is not helpful in answering the question about printing or downloading a payslip.
where do i get certificate of employment?,"Hello! To be able to help you, I'll need you to sign in.","Sure! Here's a short and concise answer to the question ""where do i get certificate of employment?"":

You can request for a certificate of employment by clicking on the following link > <a href=""https://apps.powerapps.com/play/e/default-beb276ac-6e9f-498e-8e31-019ee666decd/a/cf4b9892-d3f2-4bcd-8297-59dfbad3ef77?tenantId=beb276ac-6e9f-498e-8e31-019ee666decd&hint=ec9cafaf-f840-42fb-a403-b6ed18e1196e&sourcetime=1692925785113&source=portal"" target=""_blank"">Certificate of Employment Request</a>. Alternatively, you may access it through <a href=""https://singtel.sharepoint.com/Pages/default.aspx"" target=""_blank"">Singtel Group Espresso Home Page</a> > go > SELF-SERVICE > Click on Certificate of Employment Request. Fill out the required information and submit the request form. You will receive an email notification upon successful submission of the request, and you will receive a soft copy of the certificate of employment within 24 hours. If you have any issues, you can email the People Ops Team for assistance.

Additionally, you can check out the following links for more information:
- <a href=""https://singtel.sharepoint.com/Pages/default.aspx"" target=""_blank""> Espresso </a> 
",0.2334298610687256,2,Copilot does not provide any information related to obtaining a certificate of employment.,1,Copilot's response is not factually correct as it does not address the question.,5,"While the response is clear, it is not relevant to the question asked.",1,The response is not relevant to the question about obtaining a certificate of employment.,7,The response is concise but fails to provide the necessary information.,2,Copilot's response is not helpful in answering the question about obtaining a certificate of employment.
can i take leave to attend NS Graduation?,"Hello! To be able to help you, I'll need you to sign in.","Hello! As a Human Resource (HR) Assistant, I'm happy to help you with your query.

Yes, you can utilize Flexi Family Leave - NS Milestones for attending NS-related milestone events and ceremonies, including the Enlistment and Passing Out Parade (POP) for your child.

To apply for this leave, please submit an application via HRCentral, supported with appropriate documentation, such as a letter or email from the SAF or MINDEF/MHA, indicating the date and details of the event. Your manager will review and approve your application.

Remember, you have up to 5 Flexi Family Leave days available per year, and you can use up to 1 day out of the 5 days for NS-related milestone events and ceremonies.

If you have any further questions or concerns, feel free to reach out to me.

Additionally, you can check out the following links for more information:
- To access HRCentral, you may visit Espresso > Self-service > HRCentral 
",0.2432398319244385,2,Copilot does not address the question about taking leave for NS Graduation and instead asks the user to sign in.,1,Copilot does not provide any factual information related to the question.,5,Copilot's response is clear but not relevant to the question asked.,1,Copilot's response is not relevant to the question about taking leave for NS Graduation.,7,Copilot's response is concise but does not provide the necessary information.,2,Copilot fails to answer the question and provides an irrelevant response.
injured while at work,"Hello! To be able to help you, I'll need you to sign in.","Hello! I'm Luis, HR Assistant at Singtel. Sorry to hear that you've been injured while at work. I'm here to help you with any questions or concerns you may have regarding your Work Injury Compensation claim.

Please note that all work-related injuries must be reported to your supervisor and HR immediately. You can find the Work Injury Compensation Claims Procedures in the attached document.

For your claim, please submit the following documents to AWAC via email with a copy to Singtel RM and Marsh:

1. Duly completed Work Injury Compensation Claim Form (Annex B)
2. Copy of Incident Report
3. Copy of the injured employee's employment pass/work permit/NRIC
4. All medical bills/certificates
5. Salary pay slips for the past 12 months prior to the accident date

If your claim is covered under the Work Injury Compensation Act (""WICA""), AWAC will follow up with specific questions within 5 working days.

Remember, it's important to seek medical attention immediately if you've been injured at work. Singtel will pay for your medical expenses and issue a letter of guarantee for hospitalization.

Feel free to reach out to me if you have any questions or concerns. I'm here to help you through this process.",0.2423712730407715,2,Copilot does not address the question about being injured at work and instead asks the user to sign in.,1,Copilot does not provide any factual information related to the question.,5,Copilot's response is clear but does not provide relevant information.,1,Copilot's response is not relevant to the question about work injury.,8,Copilot's response is concise but lacks necessary details.,2,Copilot fails to provide a helpful answer to the question about being injured at work.
when will i get paid flexible benefit,"Hello! To be able to help you, I'll need you to sign in.","Based on the information provided, the flexible benefits dollar is paid out annually, and the payment is made in the month of July. To be eligible for the payout, employees must be in service as at 30 June of the same year. Therefore, if you are a regular employee who is in service as at 30 June, you can expect to receive your flexible benefits dollar payout in July.

Additionally, you can check out the following links for more information:
- <a href='https://singtel.sharepoint.com/sites/app_hrsingtel/Policies/Benefits/Pages/Flexi-Benefits-Dollar.aspx' target='_blank'> Flexi-Benefits-Dollar </a> 
",0.2706009864807129,3,Copilot does not provide any specific information about the flexible benefit payment schedule.,2,Copilot's response does not contain any factual information related to the question.,5,Copilot's response is clear but does not address the question asked.,1,Copilot's response is not relevant to the question about flexible benefit payment.,7,Copilot's response is concise but lacks the necessary information.,3,Copilot's response is not helpful in answering the question about flexible benefit payment.
how to apply birthday leave,"Hello! To be able to help you, I'll need you to sign in.","To apply for FFL - Birthday Leave, please follow these steps:

1. Go to HRCentral > Home > select ""Time-off"" and select FFL ��� Birthday Leave.
2. Choose the date of your birthday month that you want to take off.
3. Submit your application for approval.

Note: If you are still under probation, you may need to obtain supervisor approval before applying for FFL - Birthday Leave.

Additionally, you can check out the following links for more information:
- To access HRCentral, you may visit Espresso > Self-service > HRCentral 
",0.09533233642578125,3,Copilot does not provide any information on how to apply for birthday leave.,2,Copilot's response is not factually relevant to the question asked.,5,"While the response is clear, it does not address the question.",1,Copilot's response is not relevant to the question about applying for birthday leave.,7,The response is concise but lacks the necessary information.,2,Copilot's answer is not helpful for the question asked and lacks relevant information.
how do i resign,"Hello! To be able to help you, I'll need you to sign in.","To resign from your job, you can follow these steps:

1. Inform your manager about your intention to resign.
2. Go to HRCentral > Home > Employee Info > click on ""Take Action"" on the upper right-hand side of the banner > select ""Termination of Service"" and complete the following steps:
	* Select your Date Notice Given (i.e., the date of resignation).
	* Select your Termination Date/Last Day of Service.
	* Select your Termination Reason from the drop-down list.
	* Click Submit.
	* Input comments, if any.
	* Click Confirm.
3. A workflow will be sent to your Direct Manager. The system will auto-approve after 7 days if there is no action from your Direct Manager. An email notification will be sent to you once approved.

It's important to note that employees are not required to submit any hardcopy resignation letter to their manager. The online process through HRCentral is sufficient.

Additionally, you can check out the following links for more information:
- To access HRCentral, you may visit Espresso > Self-service > HRCentral 
",0.26096148490905763,2,Copilot does not address the question about how to resign and instead asks the user to sign in.,1,Copilot's response is not factually relevant to the question asked.,5,"While the response is clear, it is not relevant to the question.",1,The response is not relevant to the question about how to resign.,8,The response is concise but does not provide the needed information.,2,"Copilot fails to answer the question about how to resign, making the response largely ineffective."
how do i return my laptop when i resign,"Hello! To be able to help you, I'll need you to sign in.","Hello! I'm Luis, HR Assistant at Singtel. Thank you for reaching out to us.

To return your laptop when you resign, please follow these steps:

1. Complete the digital Exit Clearance Checklist, which will be sent to you via email on your last day of work.
2. Return your laptop and related accessories to Central PC (IT@PITstop) first.
3. Then, return your department assets and staff pass to your Direct Manager or Pass Office.

If you have any questions or concerns, please feel free to reach out to me or my team. We're here to help make your offboarding process as smooth as possible.

Thank you for your service to Singtel, and we wish you all the best in your future endeavors!",0.23738641738891603,2,Copilot does not address the question about returning a laptop when resigning.,1,Copilot's response is not factually accurate as it does not provide any relevant information about the process of returning a laptop.,5,"While the response is clear, it does not provide any useful information related to the question.",1,The response is entirely irrelevant to the question asked.,7,The response is concise but lacks any relevant content.,2,Copilot's response fails to address the question and does not provide any useful information.
